image_id,full_detect_labels_response,label_num,label_str,label_conf
2020_isnt_so_bad_after_all.jpg,"mid: ""/m/0ds4x""
description: ""Hairstyle""
score: 0.9509009122848511
topicality: 0.9509009122848511
",1,Hairstyle,0.9509009122848511
2020_isnt_so_bad_after_all.jpg,"mid: ""/m/068jd""
description: ""Photograph""
score: 0.9420428276062012
topicality: 0.9420428276062012
",2,Photograph,0.9420428276062012
2020_isnt_so_bad_after_all.jpg,"mid: ""/m/04_fs""
description: ""Muscle""
score: 0.9231430888175964
topicality: 0.9231430888175964
",3,Muscle,0.9231430888175964
2020_isnt_so_bad_after_all.jpg,"mid: ""/m/02dl1y""
description: ""Hat""
score: 0.9174003005027771
topicality: 0.9174003005027771
",4,Hat,0.9174003005027771
2020_isnt_so_bad_after_all.jpg,"mid: ""/m/02fq_6""
description: ""Fedora""
score: 0.9080764651298523
topicality: 0.9080764651298523
",5,Fedora,0.9080764651298523
2020_isnt_so_bad_after_all.jpg,"mid: ""/m/013y0j""
description: ""Organ""
score: 0.906909167766571
topicality: 0.906909167766571
",6,Organ,0.906909167766571
2020_isnt_so_bad_after_all.jpg,"mid: ""/m/02d46y""
description: ""Cap""
score: 0.8786504864692688
topicality: 0.8786504864692688
",7,Cap,0.8786504864692688
2020_isnt_so_bad_after_all.jpg,"mid: ""/m/062581""
description: ""Sleeve""
score: 0.872423529624939
topicality: 0.872423529624939
",8,Sleeve,0.872423529624939
2020_isnt_so_bad_after_all.jpg,"mid: ""/m/02wbtzl""
description: ""Sun hat""
score: 0.8665791153907776
topicality: 0.8665791153907776
",9,Sun hat,0.8665791153907776
2020_isnt_so_bad_after_all.jpg,"mid: ""/m/0244x1""
description: ""Gesture""
score: 0.852604866027832
topicality: 0.852604866027832
",10,Gesture,0.852604866027832
15_years_from_now.jpg,"mid: ""/m/0ds4x""
description: ""Hairstyle""
score: 0.9509009122848511
topicality: 0.9509009122848511
",1,Hairstyle,0.9509009122848511
15_years_from_now.jpg,"mid: ""/m/0dzf4""
description: ""Arm""
score: 0.9441825747489929
topicality: 0.9441825747489929
",2,Arm,0.9441825747489929
15_years_from_now.jpg,"mid: ""/m/01n4qj""
description: ""Shirt""
score: 0.9424422979354858
topicality: 0.9424422979354858
",3,Shirt,0.9424422979354858
15_years_from_now.jpg,"mid: ""/m/068jd""
description: ""Photograph""
score: 0.9423039555549622
topicality: 0.9423039555549622
",4,Photograph,0.9423039555549622
15_years_from_now.jpg,"mid: ""/m/01k74n""
description: ""Facial expression""
score: 0.9327165484428406
topicality: 0.9327165484428406
",5,Facial expression,0.9327165484428406
15_years_from_now.jpg,"mid: ""/m/04_fs""
description: ""Muscle""
score: 0.9281503558158875
topicality: 0.9281503558158875
",6,Muscle,0.9281503558158875
15_years_from_now.jpg,"mid: ""/m/013y0j""
description: ""Organ""
score: 0.9100820422172546
topicality: 0.9100820422172546
",7,Organ,0.9100820422172546
15_years_from_now.jpg,"mid: ""/m/01jwgf""
description: ""Product""
score: 0.9082785248756409
topicality: 0.9082785248756409
",8,Product,0.9082785248756409
15_years_from_now.jpg,"mid: ""/m/0dgw9r""
description: ""Human""
score: 0.9011573791503906
topicality: 0.9011573791503906
",9,Human,0.9011573791503906
15_years_from_now.jpg,"mid: ""/m/032tl""
description: ""Fashion""
score: 0.8863250613212585
topicality: 0.8863250613212585
",10,Fashion,0.8863250613212585
13-3-10894973.jpg,"mid: ""/m/0dzct""
description: ""Face""
score: 0.9824974536895752
topicality: 0.9824974536895752
",1,Face,0.9824974536895752
13-3-10894973.jpg,"mid: ""/m/04hgtk""
description: ""Head""
score: 0.972156286239624
topicality: 0.972156286239624
",2,Head,0.972156286239624
13-3-10894973.jpg,"mid: ""/m/0h8mhzd""
description: ""Sports uniform""
score: 0.9669563174247742
topicality: 0.9669563174247742
",3,Sports uniform,0.9669563174247742
13-3-10894973.jpg,"mid: ""/m/05y5lj""
description: ""Sports equipment""
score: 0.9143358469009399
topicality: 0.9143358469009399
",4,Sports equipment,0.9143358469009399
13-3-10894973.jpg,"mid: ""/m/0n49352""
description: ""Sports gear""
score: 0.9068729281425476
topicality: 0.9068729281425476
",5,Sports gear,0.9068729281425476
13-3-10894973.jpg,"mid: ""/m/0zvk5""
description: ""Helmet""
score: 0.8831181526184082
topicality: 0.8831181526184082
",6,Helmet,0.8831181526184082
13-3-10894973.jpg,"mid: ""/m/02vzx9""
description: ""Player""
score: 0.8673208951950073
topicality: 0.8673208951950073
",7,Player,0.8673208951950073
13-3-10894973.jpg,"mid: ""/m/02h00q""
description: ""Jersey""
score: 0.8571540117263794
topicality: 0.8571540117263794
",8,Jersey,0.8571540117263794
13-3-10894973.jpg,"mid: ""/m/0244x1""
description: ""Gesture""
score: 0.852604866027832
topicality: 0.852604866027832
",9,Gesture,0.852604866027832
13-3-10894973.jpg,"mid: ""/m/01443y""
description: ""Headgear""
score: 0.8384544849395752
topicality: 0.8384544849395752
",10,Headgear,0.8384544849395752
All_my_homies_are_nocturnal.jpg,"mid: ""/m/025kyy""
description: ""Forehead""
score: 0.9846563935279846
topicality: 0.9846563935279846
",1,Forehead,0.9846563935279846
All_my_homies_are_nocturnal.jpg,"mid: ""/m/0f9swq""
description: ""Chin""
score: 0.9662486910820007
topicality: 0.9662486910820007
",2,Chin,0.9662486910820007
All_my_homies_are_nocturnal.jpg,"mid: ""/m/027n3_""
description: ""Eyebrow""
score: 0.9439308643341064
topicality: 0.9439308643341064
",3,Eyebrow,0.9439308643341064
All_my_homies_are_nocturnal.jpg,"mid: ""/m/01k74n""
description: ""Facial expression""
score: 0.9325582385063171
topicality: 0.9325582385063171
",4,Facial expression,0.9325582385063171
All_my_homies_are_nocturnal.jpg,"mid: ""/m/0dgw9r""
description: ""Human""
score: 0.9003829956054688
topicality: 0.9003829956054688
",5,Human,0.9003829956054688
All_my_homies_are_nocturnal.jpg,"mid: ""/m/016pp7""
description: ""Happy""
score: 0.865808367729187
topicality: 0.865808367729187
",6,Happy,0.865808367729187
All_my_homies_are_nocturnal.jpg,"mid: ""/m/062581""
description: ""Sleeve""
score: 0.849238932132721
topicality: 0.849238932132721
",7,Sleeve,0.849238932132721
All_my_homies_are_nocturnal.jpg,"mid: ""/m/071j9r""
description: ""Cool""
score: 0.8171941637992859
topicality: 0.8171941637992859
",8,Cool,0.8171941637992859
All_my_homies_are_nocturnal.jpg,"mid: ""/m/03r_vp""
description: ""Adaptation""
score: 0.7941416501998901
topicality: 0.7941416501998901
",9,Adaptation,0.7941416501998901
All_my_homies_are_nocturnal.jpg,"mid: ""/m/03gq5hm""
description: ""Font""
score: 0.7834785580635071
topicality: 0.7834785580635071
",10,Font,0.7834785580635071
Homma_314291361989750_775367765882105_74310383c831cf33fd59e400d9cb8ac921478622d735226b962c8bff.jpg,"mid: ""/m/03gq5hm""
description: ""Font""
score: 0.8336242437362671
topicality: 0.8336242437362671
",1,Font,0.8336242437362671
Homma_314291361989750_775367765882105_74310383c831cf33fd59e400d9cb8ac921478622d735226b962c8bff.jpg,"mid: ""/m/0j62f""
description: ""Rectangle""
score: 0.8199822902679443
topicality: 0.8199822902679443
",2,Rectangle,0.8199822902679443
Homma_314291361989750_775367765882105_74310383c831cf33fd59e400d9cb8ac921478622d735226b962c8bff.jpg,"mid: ""/m/030zfn""
description: ""Parallel""
score: 0.7516760230064392
topicality: 0.7516760230064392
",3,Parallel,0.7516760230064392
Homma_314291361989750_775367765882105_74310383c831cf33fd59e400d9cb8ac921478622d735226b962c8bff.jpg,"mid: ""/m/0f28m""
description: ""Symmetry""
score: 0.7208610773086548
topicality: 0.7208610773086548
",4,Symmetry,0.7208610773086548
Homma_314291361989750_775367765882105_74310383c831cf33fd59e400d9cb8ac921478622d735226b962c8bff.jpg,"mid: ""/m/05fwb""
description: ""Number""
score: 0.6683205366134644
topicality: 0.6683205366134644
",5,Number,0.6683205366134644
Homma_314291361989750_775367765882105_74310383c831cf33fd59e400d9cb8ac921478622d735226b962c8bff.jpg,"mid: ""/m/0hwky""
description: ""Pattern""
score: 0.5601150989532471
topicality: 0.5601150989532471
",6,Pattern,0.5601150989532471
Big_brain.jpg,"mid: ""/m/0838f""
description: ""Water""
score: 0.9811522960662842
topicality: 0.9811522960662842
",1,Water,0.9811522960662842
Big_brain.jpg,"mid: ""/m/01bqvp""
description: ""Sky""
score: 0.9759992957115173
topicality: 0.9759992957115173
",2,Sky,0.9759992957115173
Big_brain.jpg,"mid: ""/m/09686""
description: ""Vertebrate""
score: 0.9212369918823242
topicality: 0.9212369918823242
",3,Vertebrate,0.9212369918823242
Big_brain.jpg,"mid: ""/m/05h0n""
description: ""Nature""
score: 0.9007375836372375
topicality: 0.9007375836372375
",4,Nature,0.9007375836372375
Big_brain.jpg,"mid: ""/m/03scnj""
description: ""Line""
score: 0.8173300623893738
topicality: 0.8173300623893738
",5,Line,0.8173300623893738
Big_brain.jpg,"mid: ""/m/0d1n2""
description: ""Horizon""
score: 0.8040533065795898
topicality: 0.8040533065795898
",6,Horizon,0.8040533065795898
Big_brain.jpg,"mid: ""/m/015kr""
description: ""Bridge""
score: 0.7911272048950195
topicality: 0.7911272048950195
",7,Bridge,0.7911272048950195
Big_brain.jpg,"mid: ""/m/05_5t0l""
description: ""Landmark""
score: 0.7836521863937378
topicality: 0.7836521863937378
",8,Landmark,0.7836521863937378
Big_brain.jpg,"mid: ""/m/0csby""
description: ""Cloud""
score: 0.7793988585472107
topicality: 0.7793988585472107
",9,Cloud,0.7793988585472107
Big_brain.jpg,"mid: ""/m/0csy8""
description: ""Suspension bridge""
score: 0.7426823973655701
topicality: 0.7426823973655701
",10,Suspension bridge,0.7426823973655701
A_80s_aesthetic_inspo_that_no_one_asked_for_.jpg,"mid: ""/m/0dnr7""
description: ""Textile""
score: 0.8770814538002014
topicality: 0.8770814538002014
",1,Textile,0.8770814538002014
A_80s_aesthetic_inspo_that_no_one_asked_for_.jpg,"mid: ""/m/062581""
description: ""Sleeve""
score: 0.8724504113197327
topicality: 0.8724504113197327
",2,Sleeve,0.8724504113197327
