image_id,full_detect_labels_response,label_num,label_str,label_conf
2020_isnt_so_bad_after_all.jpg,"{'additional_properties': {}, 'categories': [<azure.cognitiveservices.vision.computervision.models._models_py3.Category object at 0x7f285ab1c8b0>], 'adult': None, 'color': None, 'image_type': None, 'tags': None, 'description': None, 'faces': None, 'objects': None, 'brands': None, 'request_id': 'f044a8e0-f97d-407d-900c-d444e34b8390', 'metadata': <azure.cognitiveservices.vision.computervision.models._models_py3.ImageMetadata object at 0x7f285ab60970>}",1,people_group,0.38671875
15_years_from_now.jpg,"{'additional_properties': {}, 'categories': [<azure.cognitiveservices.vision.computervision.models._models_py3.Category object at 0x7f285aa733a0>], 'adult': None, 'color': None, 'image_type': None, 'tags': None, 'description': None, 'faces': None, 'objects': None, 'brands': None, 'request_id': 'b51aaa4e-bd80-448d-ba43-1e8ebd835f9f', 'metadata': <azure.cognitiveservices.vision.computervision.models._models_py3.ImageMetadata object at 0x7f285aa73ee0>}",1,people_group,0.8125
13-3-10894973.jpg,"{'additional_properties': {}, 'categories': [<azure.cognitiveservices.vision.computervision.models._models_py3.Category object at 0x7f285aa7a1f0>, <azure.cognitiveservices.vision.computervision.models._models_py3.Category object at 0x7f285aa7a0a0>], 'adult': None, 'color': None, 'image_type': None, 'tags': None, 'description': None, 'faces': None, 'objects': None, 'brands': None, 'request_id': 'a894395e-471c-4a8d-a3aa-b0572739f354', 'metadata': <azure.cognitiveservices.vision.computervision.models._models_py3.ImageMetadata object at 0x7f285aa73790>}",1,others_,0.01953125
13-3-10894973.jpg,"{'additional_properties': {}, 'categories': [<azure.cognitiveservices.vision.computervision.models._models_py3.Category object at 0x7f285aa7a1f0>, <azure.cognitiveservices.vision.computervision.models._models_py3.Category object at 0x7f285aa7a0a0>], 'adult': None, 'color': None, 'image_type': None, 'tags': None, 'description': None, 'faces': None, 'objects': None, 'brands': None, 'request_id': 'a894395e-471c-4a8d-a3aa-b0572739f354', 'metadata': <azure.cognitiveservices.vision.computervision.models._models_py3.ImageMetadata object at 0x7f285aa73790>}",2,people_,0.52734375
All_my_homies_are_nocturnal.jpg,"{'additional_properties': {}, 'categories': [<azure.cognitiveservices.vision.computervision.models._models_py3.Category object at 0x7f285aa7a8b0>, <azure.cognitiveservices.vision.computervision.models._models_py3.Category object at 0x7f285aa7ae80>], 'adult': None, 'color': None, 'image_type': None, 'tags': None, 'description': None, 'faces': None, 'objects': None, 'brands': None, 'request_id': 'c1a36d45-8fa1-4880-8124-d16fe77b5472', 'metadata': <azure.cognitiveservices.vision.computervision.models._models_py3.ImageMetadata object at 0x7f285aa7af70>}",1,others_,0.00390625
All_my_homies_are_nocturnal.jpg,"{'additional_properties': {}, 'categories': [<azure.cognitiveservices.vision.computervision.models._models_py3.Category object at 0x7f285aa7a8b0>, <azure.cognitiveservices.vision.computervision.models._models_py3.Category object at 0x7f285aa7ae80>], 'adult': None, 'color': None, 'image_type': None, 'tags': None, 'description': None, 'faces': None, 'objects': None, 'brands': None, 'request_id': 'c1a36d45-8fa1-4880-8124-d16fe77b5472', 'metadata': <azure.cognitiveservices.vision.computervision.models._models_py3.ImageMetadata object at 0x7f285aa7af70>}",2,text_mag,0.78125
Homma_314291361989750_775367765882105_74310383c831cf33fd59e400d9cb8ac921478622d735226b962c8bff.jpg,"{'additional_properties': {}, 'categories': [<azure.cognitiveservices.vision.computervision.models._models_py3.Category object at 0x7f285aa9f1c0>, <azure.cognitiveservices.vision.computervision.models._models_py3.Category object at 0x7f285aa9f4c0>], 'adult': None, 'color': None, 'image_type': None, 'tags': None, 'description': None, 'faces': None, 'objects': None, 'brands': None, 'request_id': 'a524255f-d1f4-484d-85b2-49df3d0186ed', 'metadata': <azure.cognitiveservices.vision.computervision.models._models_py3.ImageMetadata object at 0x7f285aa9f760>}",1,others_,0.00390625
Homma_314291361989750_775367765882105_74310383c831cf33fd59e400d9cb8ac921478622d735226b962c8bff.jpg,"{'additional_properties': {}, 'categories': [<azure.cognitiveservices.vision.computervision.models._models_py3.Category object at 0x7f285aa9f1c0>, <azure.cognitiveservices.vision.computervision.models._models_py3.Category object at 0x7f285aa9f4c0>], 'adult': None, 'color': None, 'image_type': None, 'tags': None, 'description': None, 'faces': None, 'objects': None, 'brands': None, 'request_id': 'a524255f-d1f4-484d-85b2-49df3d0186ed', 'metadata': <azure.cognitiveservices.vision.computervision.models._models_py3.ImageMetadata object at 0x7f285aa9f760>}",2,text_,0.7109375
Big_brain.jpg,"{'additional_properties': {}, 'categories': [<azure.cognitiveservices.vision.computervision.models._models_py3.Category object at 0x7f285aa7a7c0>], 'adult': None, 'color': None, 'image_type': None, 'tags': None, 'description': None, 'faces': None, 'objects': None, 'brands': None, 'request_id': '1f23be47-859b-4040-b3e9-d17be2aa2435', 'metadata': <azure.cognitiveservices.vision.computervision.models._models_py3.ImageMetadata object at 0x7f285aa7aee0>}",1,outdoor_,0.24609375
A_80s_aesthetic_inspo_that_no_one_asked_for_.jpg,"{'additional_properties': {}, 'categories': [<azure.cognitiveservices.vision.computervision.models._models_py3.Category object at 0x7f285aa7a3a0>, <azure.cognitiveservices.vision.computervision.models._models_py3.Category object at 0x7f285ab018b0>], 'adult': None, 'color': None, 'image_type': None, 'tags': None, 'description': None, 'faces': None, 'objects': None, 'brands': None, 'request_id': 'e744109b-55e6-43fb-862e-58165d656495', 'metadata': <azure.cognitiveservices.vision.computervision.models._models_py3.ImageMetadata object at 0x7f285aa7a670>}",1,abstract_nonphoto,0.20703125
